"","LoS","zero","one","two","three","four","five_or_more"
"1","1",32.6706765277753,0,0,0,0,0
"2","10",0.159909868982937,0.219897381222096,0.781015319915891,0.857462408350938,3.42890073476444,9.90575496290355
"3","11+",0.0835892496956261,0.233224495235557,0.43055972764594,1.37939604821673,2.46362195649042,6.47683978343694
"4","2",14.2029038178481,33.3777570467115,0,0,0,0
"5","3",25.3784230706329,14.0067968281469,0,0,0,0
"6","4",13.9321473351384,25.5080962217632,33.3133072994893,0,0,0
"7","5",7.64659918954771,13.5869927367229,31.8213677781115,33.4410339256866,0,0
"8","6",4.29939488651851,7.60311854467915,19.1649143887053,32.1734808002983,33.8856072612016,0
"9","7",0.510621286184151,4.1047511161458,9.90287373585661,18.280104386728,32.4448926667627,33.1662322037297
"10","8",0.939470480274754,0.439794762444193,3.66476419345149,10.3019758916366,18.2682610574845,32.2037296972128
"11","9",0.176264287401646,0.919570866928767,0.921197556823871,3.56654653908289,9.50871632329635,18.2474433527171
